File;Class
resizedDataset - Kopi/Scene1/00022_00193_outdoor_000_0000.png;0
resizedDataset - Kopi/Scene1/00022_00193_outdoor_000_0001.png;0
resizedDataset - Kopi/Scene1/00022_00193_outdoor_000_0200.png;0
resizedDataset - Kopi/Scene1/00022_00193_outdoor_000_0201.png;0
resizedDataset - Kopi/Scene1/00022_00193_outdoor_000_0400.png;0
resizedDataset - Kopi/Scene1/00022_00193_outdoor_000_0401.png;0
resizedDataset - Kopi/Scene1/00022_00193_outdoor_010_0100.png;0
resizedDataset - Kopi/Scene1/00022_00193_outdoor_010_0101.png;0
resizedDataset - Kopi/Scene1/00022_00193_outdoor_010_0300.png;0
resizedDataset - Kopi/Scene1/00022_00193_outdoor_010_0301.png;0
resizedDataset - Kopi/Scene1/00022_00193_outdoor_020_0000.png;0
resizedDataset - Kopi/Scene1/00022_00193_outdoor_020_0001.png;0
resizedDataset - Kopi/Scene1/00022_00193_outdoor_030_0200.png;0
resizedDataset - Kopi/Scene1/00022_00193_outdoor_030_0201.png;0
resizedDataset - Kopi/Scene1/00022_00193_outdoor_030_0400.png;0
resizedDataset - Kopi/Scene1/00022_00193_outdoor_030_0401.png;0
resizedDataset - Kopi/Scene1/00022_00193_outdoor_040_0000.png;0
resizedDataset - Kopi/Scene1/00022_00193_outdoor_040_0001.png;0
resizedDataset - Kopi/Scene1/00022_00193_outdoor_050_0100.png;0
resizedDataset - Kopi/Scene1/00022_00193_outdoor_050_0101.png;0
resizedDataset - Kopi/Scene1/00022_00193_outdoor_050_0300.png;0
resizedDataset - Kopi/Scene1/00022_00193_outdoor_050_0301.png;0
resizedDataset - Kopi/Scene1/00022_00193_outdoor_050_0500.png;0
resizedDataset - Kopi/Scene1/00022_00193_outdoor_050_0501.png;0
resizedDataset - Kopi/Scene1/00022_00193_outdoor_060_0000.png;0
resizedDataset - Kopi/Scene1/00022_00193_outdoor_060_0001.png;0
resizedDataset - Kopi/Scene1/00022_00193_outdoor_060_0200.png;0
resizedDataset - Kopi/Scene1/00022_00193_outdoor_060_0201.png;0
resizedDataset - Kopi/Scene1/00022_00193_outdoor_060_0400.png;0
resizedDataset - Kopi/Scene1/00022_00193_outdoor_060_0401.png;0
resizedDataset - Kopi/Scene1/00022_00193_outdoor_070_0100.png;0
resizedDataset - Kopi/Scene1/00022_00193_outdoor_070_0101.png;0
resizedDataset - Kopi/Scene1/00022_00193_outdoor_070_0300.png;0
resizedDataset - Kopi/Scene1/00022_00193_outdoor_070_0301.png;0
resizedDataset - Kopi/Scene1/00022_00193_outdoor_070_0500.png;0
resizedDataset - Kopi/Scene1/00022_00193_outdoor_070_0501.png;0
resizedDataset - Kopi/Scene1/00022_00193_outdoor_080_0400.png;0
resizedDataset - Kopi/Scene1/00022_00193_outdoor_080_0401.png;0
resizedDataset - Kopi/Scene1/00022_00193_outdoor_090_0000.png;0
resizedDataset - Kopi/Scene1/00022_00193_outdoor_090_0001.png;0
resizedDataset - Kopi/Scene1/00022_00193_outdoor_100_0500.png;0
resizedDataset - Kopi/Scene1/00022_00193_outdoor_100_0501.png;0
resizedDataset - Kopi/Scene1/00022_00193_outdoor_110_0000.png;0
resizedDataset - Kopi/Scene1/00022_00193_outdoor_110_0001.png;0
resizedDataset - Kopi/Scene1/00022_00193_outdoor_110_0400.png;0
resizedDataset - Kopi/Scene1/00022_00193_outdoor_110_0401.png;0
resizedDataset - Kopi/Scene1/00022_00193_outdoor_120_0500.png;0
resizedDataset - Kopi/Scene1/00022_00193_outdoor_120_0501.png;0
resizedDataset - Kopi/Scene1/00022_00193_outdoor_130_0400.png;0
resizedDataset - Kopi/Scene1/00022_00193_outdoor_130_0401.png;0
resizedDataset - Kopi/Scene1/00022_00193_outdoor_140_0000.png;0
resizedDataset - Kopi/Scene1/00022_00193_outdoor_140_0001.png;0
resizedDataset - Kopi/Scene1/00022_00193_outdoor_140_0300.png;0
resizedDataset - Kopi/Scene1/00022_00193_outdoor_140_0301.png;0
resizedDataset - Kopi/Scene1/00022_00193_outdoor_140_0500.png;0
resizedDataset - Kopi/Scene1/00022_00193_outdoor_140_0501.png;0
resizedDataset - Kopi/Scene1/00022_00193_outdoor_150_0100.png;0
resizedDataset - Kopi/Scene1/00022_00193_outdoor_150_0101.png;0
resizedDataset - Kopi/Scene1/00022_00193_outdoor_150_0400.png;0
resizedDataset - Kopi/Scene1/00022_00193_outdoor_150_0401.png;0
resizedDataset - Kopi/Scene1/00022_00193_outdoor_160_0000.png;0
resizedDataset - Kopi/Scene1/00022_00193_outdoor_160_0001.png;0
resizedDataset - Kopi/Scene1/00022_00193_outdoor_160_0200.png;0
resizedDataset - Kopi/Scene1/00022_00193_outdoor_160_0201.png;0
resizedDataset - Kopi/Scene1/00022_00193_outdoor_170_0100.png;0
resizedDataset - Kopi/Scene1/00022_00193_outdoor_170_0101.png;0
resizedDataset - Kopi/Scene1/00022_00193_outdoor_170_0300.png;0
resizedDataset - Kopi/Scene1/00022_00193_outdoor_170_0301.png;0
resizedDataset - Kopi/Scene1/00022_00193_outdoor_180_0200.png;0
resizedDataset - Kopi/Scene1/00022_00193_outdoor_180_0201.png;0
resizedDataset - Kopi/Scene1/00022_00193_outdoor_190_0000.png;0
resizedDataset - Kopi/Scene1/00022_00193_outdoor_190_0001.png;0
resizedDataset - Kopi/Scene1/00022_00193_outdoor_200_0100.png;0
resizedDataset - Kopi/Scene1/00022_00193_outdoor_200_0101.png;0
resizedDataset - Kopi/Scene1/00022_00193_outdoor_210_0000.png;0
resizedDataset - Kopi/Scene1/00022_00193_outdoor_210_0001.png;0
resizedDataset - Kopi/Scene1/00022_00193_outdoor_210_0200.png;0
resizedDataset - Kopi/Scene1/00022_00193_outdoor_210_0201.png;0
resizedDataset - Kopi/Scene1/00022_00193_outdoor_220_0100.png;0
resizedDataset - Kopi/Scene1/00022_00193_outdoor_220_0101.png;0
resizedDataset - Kopi/Scene1/00022_00193_outdoor_220_0300.png;0
resizedDataset - Kopi/Scene1/00022_00193_outdoor_220_0301.png;0
resizedDataset - Kopi/Scene1/00022_00193_outdoor_230_0000.png;0
resizedDataset - Kopi/Scene1/00022_00193_outdoor_230_0001.png;0
resizedDataset - Kopi/Scene1/00022_00193_outdoor_230_0400.png;0
resizedDataset - Kopi/Scene1/00022_00193_outdoor_230_0401.png;0
resizedDataset - Kopi/Scene1/00022_00193_outdoor_240_0300.png;0
resizedDataset - Kopi/Scene1/00022_00193_outdoor_240_0301.png;0
resizedDataset - Kopi/Scene1/00022_00193_outdoor_310_0000.png;0
resizedDataset - Kopi/Scene1/00022_00193_outdoor_310_0001.png;0
resizedDataset - Kopi/Scene1/00022_00193_outdoor_320_0200.png;0
resizedDataset - Kopi/Scene1/00022_00193_outdoor_320_0201.png;0
resizedDataset - Kopi/Scene1/00022_00193_outdoor_330_0100.png;0
resizedDataset - Kopi/Scene1/00022_00193_outdoor_330_0101.png;0
resizedDataset - Kopi/Scene1/00022_00193_outdoor_340_0000.png;0
resizedDataset - Kopi/Scene1/00022_00193_outdoor_340_0001.png;0
resizedDataset - Kopi/Scene1/00022_00193_outdoor_340_0200.png;0
resizedDataset - Kopi/Scene1/00022_00193_outdoor_340_0201.png;0
resizedDataset - Kopi/Scene1/00022_00193_outdoor_350_0100.png;0
resizedDataset - Kopi/Scene1/00022_00193_outdoor_350_0101.png;0
resizedDataset - Kopi/Scene1/00022_00193_outdoor_350_0300.png;0
resizedDataset - Kopi/Scene1/00022_00193_outdoor_350_0301.png;0
resizedDataset - Kopi/Scene2/00022_00194_outdoor_000_0000.png;0
resizedDataset - Kopi/Scene2/00022_00194_outdoor_000_0001.png;0
resizedDataset - Kopi/Scene2/00022_00194_outdoor_000_0200.png;0
resizedDataset - Kopi/Scene2/00022_00194_outdoor_000_0201.png;0
resizedDataset - Kopi/Scene2/00022_00194_outdoor_010_0400.png;0
resizedDataset - Kopi/Scene2/00022_00194_outdoor_010_0401.png;0
resizedDataset - Kopi/Scene2/00022_00194_outdoor_020_0100.png;0
resizedDataset - Kopi/Scene2/00022_00194_outdoor_020_0101.png;0
resizedDataset - Kopi/Scene2/00022_00194_outdoor_020_0300.png;0
resizedDataset - Kopi/Scene2/00022_00194_outdoor_020_0301.png;0
resizedDataset - Kopi/Scene2/00022_00194_outdoor_030_0000.png;0
resizedDataset - Kopi/Scene2/00022_00194_outdoor_030_0001.png;0
resizedDataset - Kopi/Scene2/00022_00194_outdoor_040_0200.png;0
resizedDataset - Kopi/Scene2/00022_00194_outdoor_040_0201.png;0
resizedDataset - Kopi/Scene2/00022_00194_outdoor_040_0400.png;0
resizedDataset - Kopi/Scene2/00022_00194_outdoor_040_0401.png;0
resizedDataset - Kopi/Scene2/00022_00194_outdoor_050_0000.png;0
resizedDataset - Kopi/Scene2/00022_00194_outdoor_050_0001.png;0
resizedDataset - Kopi/Scene2/00022_00194_outdoor_050_0300.png;0
resizedDataset - Kopi/Scene2/00022_00194_outdoor_050_0301.png;0
resizedDataset - Kopi/Scene2/00022_00194_outdoor_060_0100.png;0
resizedDataset - Kopi/Scene2/00022_00194_outdoor_060_0101.png;0
resizedDataset - Kopi/Scene2/00022_00194_outdoor_060_0400.png;0
resizedDataset - Kopi/Scene2/00022_00194_outdoor_060_0401.png;0
